學年度,學期,課程代碼,課程名稱,授課教師,上課時間,上課教室,學分,選別,開課學程/年級,授課語言,EMI課程,學制分類,備註
113,2,088300061,"華語－密集班閱讀課程（二）","許宇萱","三D56","綜北270205",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088400011,"華語－密集班寫作課程（二）","詹永康","四D56","商館260309",3.0,選修,"華���文中心",中文,否,學士班,"＠備註:無"
113,2,088400021,"華語－密集班寫作課程（二）","林佩君","四234","商館260315",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088400051,"華語－密集班寫作課程（二）","簡汎霓","四D56","綜北270404",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088400061,"華語－密集班寫作課程（二）","許宇萱","四D56","綜北270205",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088500011,"華語特別班基礎華語","方資閔","四234","商館260309",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:1.僅供外籍交換生與外籍學位生修習，外籍學位生修此課學分不予以採計2.第一堂課務必出席，否則該科將以零分計算，第一堂未到者請自行退選3.不開放加選、加簽4.課堂抽點名未到逾九小時，該科將以零分計算5.上課教室與名單將於開課前公告於國合處首頁，請學生自行上網查看"
113,2,088500031,"華語特別班基礎華語","簡汎霓","二78E","綜北270404",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:1.僅供外籍交換生與外籍學位生修習，外籍學位生修此課學分不予以採計2.第一堂課務必出席，否則該科將以零分計算，第一堂未到者請自行退選3.不開放加選、加簽4.課堂抽點名未到逾九小時，該科將以零分計算5.上課教室與名單將於開課前公告於國合處首頁，請學生自行上網查看"
113,2,088501021,"華語特別班實用華語","許宇萱","三78E","綜北270205",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:1.僅供外籍交換生與外籍學位生修習，外籍學位生修此課學分不予以採計2.第一堂課務必出席，否則該科將以零分計算，第一堂未到者請自行退選3.不開放加選、加簽4.第一堂課為分班測驗，將依測驗結果公布上課教室5.課堂抽點名未到逾九小時，該科將以零分計算6.分班測驗教室與名單將於開課前公告於國合處首頁，請學生自行上網查看"
113,2,000350001,"行銷管理","白佩玉","三234","寶來科技廳",3.0,必修,"企管系",中文,否,學士班,"＠備註:企管二甲優先。先修管理學與經濟學，第一堂課必到。"
113,2,000360051,"統計學（二）","張育瑋","二D56","商館260106",3.0,必修,"統計系",中文,否,學士班,"＠備註:實習課為四、78，實習課衝堂者不得選修。商院各系、地政系及經濟系學生優先。本課程不加簽但開放遞補。已修習原「統計學」全學年下學期課程及格者，修習本課程屬重複修習。"
113,2,000711012,"微積分","符聖珍","四D56","大勇210104",3.0,必修,"應數系",中文,否,學士班,"＠備註:財管系優先。"
113,2,000713022,"微積分甲","林俊良","二234","大勇210104",3.0,必修,"應數系",中文,否,學士班,"＠備註:金融系優先。"
113,2,088100021,"華語－密集班聽力課程（二）","林佩君","一D56","商館260315",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088100061,"華語－密集班聽力課程（二）","許宇萱","一D56","綜北270205",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088200011,"華語－密集班口說課程（二）","詹永康","二D56","商館260309",3.0,選修,"��語文中心",中文,否,學士班,"＠備註:無"
113,2,088200051,"華語－密集班口說課程（二）","簡汎霓","二D56","綜北270404",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088300031,"華語－密集班閱讀課程（二）","吳孟盈","三D56","逸仙050203",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088500051,"華語特別班基礎華語","陳惠芳","二78E","",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:1.僅供外籍交換生與外籍學位生修習，外籍學位生修此課學分不予以採計2.第一堂課務必出席，否則該科將以零分計算，第一堂未到者請自行退選3.不開放加選、加簽4.課堂抽點名未到逾九小時，該科將以零分計算5.上課教室與名單將於開課前公告於國合處首頁，請學生自行上網查看"
113,2,088501011,"華語特別班實用華語","詹永康","三78E","商館260309",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:1.僅供外籍交換生與外籍學位生修習，外籍學位生修此課學分不予以採計2.第一堂課務必出席，否則該科將以零分計算，第一堂未到者請自行退選3.不開放加選、加簽4.第一堂課為分班測驗，將依測驗結果公布上課教室5.課堂抽點名未到逾九小時，該科將以零分計算6.分班測驗教室與名單將於開課前公告於國合處首頁，請學生自行上網查看"
113,2,088501031,"華語特別班實用華語","郭珊妤","三78E","商館260310",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:1.僅供外籍交換生與外籍學位生修習，外籍學位生修此課學分不予以採計2.第一堂課務必出席，否則該科將以零分計算，第一堂未到者請自行退選3.不開放加選、加簽4.第一堂課為分班測驗，將依測驗結果公布上課教室5.課堂抽點名未到逾九小時，該科將以零分計算6.分班測驗教室與名單將於開課前公告於國合處首頁，請學生自行上網查看"
113,2,088501041,"華語特別班實用華語","陳惠芳","三78E","",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:1.僅供外籍交換生與外籍學位生修習，外籍學位生修此課學分不予以採計2.第一堂課務必出席，否則該科將以零分計算，第一堂未到者請自行退選3.不開放加選、加簽4.第一堂課為分班測驗，將依測驗結果公布上課教室5.課堂抽點名未到逾九小時，該科將以零分計算6.分班測驗教室與名單將於開課前公告於國合處首頁，請學生自行上網查看"
113,2,088502001,"國際政經新聞","詹永康","三234","商館260309",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088503001,"中級商務華語","林佩君","二78E","商館260310",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088942001,"短篇小說選","陳憶寧","四234","商館260308",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:限西點專案生。"
113,2,088944001,"新聞時事（一）","陳憶寧","二234","商館260209",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:限西點專案生。"
113,2,000217032,"個體經濟學","徐麗振","二D56","綜南270415",3.0,必修,"經濟系",中文,否,學士班,"＠備註:財政系學生優先，本課程有實習課，先修科目為經濟學，且建議修畢微積分再選課。"
113,2,000218002,"總體經濟學","莊奕琦","四234","大勇210103",3.0,必修,"經濟系",中文,否,學士班,"＠備註:本課程有實習課"
113,2,000219052,"經濟學","洪福聲","三234","大勇210103",3.0,必修,"經濟系",中文,否,學士班,"＠備註:公行系學生優先"
113,2,000219532,"經濟學","林信助","二234","資訊140206",3.0,必修,"國貿系",中文,否,學士班,"＠備註:國貿系,會一甲,風管系優先。114.6.14上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。"
113,2,000219582,"經濟學","溫偉任","五234","研究250103",3.0,必修,"國貿系",中文,否,學士班,"＠備註:國貿系，統計系，會一乙優先。114.6.14上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。"
113,2,000221002,"財政學","黃智聰","二D56","綜合中央大教室 (270751)",3.0,必修,"財政系",中文,否,學士班,"＠備註:開放加簽"
113,2,000228032,"貨幣銀行學","蕭明福","四D56","大勇210105",3.0,群修,"經濟系",中文,否,學士班,"＠備註:無"
113,2,000229002,"社會學","馬藹萱","二1234","綜南270113",4.0,必修,"社會系",中文,否,學士班,"＠備註:無"
113,2,000318011,"初級會計學（二）","徐愛恩","一D56","資訊140301",3.0,必修,"會計系",英文,是,學士班,"＠備註:擋修初會(一)，英語授課，ETP優先。非同步遠距教學。本課程於114.6.14(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
113,2,000318021,"初級會計學（二）","何怡澄","一D56","資訊140206",3.0,必修,"會計系",中文,否,學士班,"＠備註:擋修初會(一)，財政一甲，實習課：一C。本課程於114.6.14(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
113,2,000318131,"初級會計學（二）","何怡澄","四234","資訊140206",3.0,必修,"會計系",���文,否,學士班,"＠備註:財政一乙，實習課四1。擋修初會(一)，本課程於114.6.14(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。加簽相關問題：1.加簽視教室可容納人數而定；2.欲加簽同學開學第一堂課必須出席；3.加簽與否以會計學是否為畢業必修科目為優先(包含雙主修，輔系不算)；4.初會一及格為加簽必要條件；5.來信詢問上述加簽相關問題不予回應。"
113,2,000327031,"中級會計學（二）","徐愛恩","二D56","人偉講堂",3.0,必修,"會計系",英文,是,學士班,"＠備註:擋修中會(一)，英語授課，ETP優先。不開放加簽。"
113,2,000346011,"成本管理會計（二）","李佳玲","二234","商館260106",3.0,必修,"會計系",中文,否,學士班,"＠備註:會二甲，擋修成會（一）。要加簽者，請第一堂課程說明要出席。"
113,2,000346031,"成本管理會計（二）","王文英","二D56","學思040202",3.0,必修,"會計系",中文,否,學士班,"＠備註:擋修成會(一)"
113,2,000350031,"行銷管理","鄭濬浩","三D56","",3.0,必修,"企管系",英文,是,學士班,"＠備註:英語授課。先修管理學與經濟學，第一堂課必到。國貿二乙優先。"
113,2,000351061,"投資學","車倫周","三D56","商館260205",3.0,必修,"財管系",英文,是,學士班,"＠備註:先修經濟學及初級會計學一學年，財管二優先，英語授課，不加簽。為利課程銜接，建議同學修課前需具有統計學基礎概念(Mean、Variance、Covariance、Correlation coefficient、Normal distribution、Regression)"
113,2,000356001,"社會責任與倫理","黃秉德","二D56","商館260311",1.0,必修,"企管系",中文,否,學士班,"＠備註:限大三以上修習，集中授課六週，每次3小時，實際上課日期請參考教學大綱。"
113,2,000356041,"社會責任與倫理","李竺姮","五234","寶來國際廳",1.0,必修,"企管系",中文,否,學士班,"＠備註:集中授課6週，限大三以上修習，實際上課日期4/18-5/13，請務必看教學大綱確認日期。"
113,2,000360031,"統計學（二）","翁久幸","二234","商館260306",3.0,必修,"統計系",中文,否,學士班,"＠備註:實習課為四、78，實習課衝堂者不得選修。財管系一年級學生灌檔；商院各系、地政系及經濟系學生優先。已修習原「統計學」全學年下學期課程及格者，修習本課程屬重複修習。"
113,2,000360201,"統計學（二）","吳漢銘","四D56","商館260311",3.0,必修,"統計系",英文,是,學士班,"＠備註:英語授課。實習課為二、78，實習課衝堂者不得選修。商院ETP學生及外籍生優先。已修習原「統計學」全學年下學期課程及格者，修習本課程屬重複修習。"
113,2,000604011,"商事法","王正偉","四78","商館260306",2.0,必修,"法律系",中文,否,學士班,"＠備註:風管系二年級優先"
113,2,000712001,"微積分","林俊良","三D56","大智190101",3.0,必修,"應數系",中文,否,學士班,"＠備註:會計系優先"
113,2,000217042,"個體經濟學","黃柏鈞","三D56","綜合中央大教室 (270751)",3.0,必修,"經濟系",中文,否,學士班,"＠備註:本課程有實習課。"
113,2,000218042,"總體經濟學","朱琇妍","三D56","人偉講堂",3.0,必修,"經濟系",英文,是,學士班,"＠備註:財政系學生優先，本課程為英語授課，另有實習課"
113,2,000219082,"經濟學","廖郁萍","三234","大勇210201",3.0,必修,"經濟系",中文,否,學士班,"＠備註:地政系學生優先。"
113,2,000318071,"初級會計學（二）","陳宇紳","二D56","逸仙050101",3.0,必修,"會計系",中文,否,學士班,"＠備註:第一堂課請務必出席。擋修初會(一)。因教室人數限制，本課程不接受加簽，電郵加簽相關問題恕不回應。本課程於114.6.14(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
113,2,000318091,"初級會計學（二）","戚務君","三234","學思040103",3.0,必修,"會計系",中文,否,學士班,"＠備註:資管一甲，第一堂務必出席。擋修初會(一)，本課程於114.6.14(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
113,2,000347121,"財務管理","林基煌、屠美亞","三234","商館260210",3.0,選修,"財管系",中文,否,學士班,"＠備註:先修經濟學及初級會計學一學年"
113,2,000351031,"投資學","林靖庭","三234","商館260106",3.0,必修,"財管系",中文,否,學士班,"＠備註:先修經濟學及初級會計學一學年，金融二優先。為利課程銜接，建議同學修課前需具有統計學基礎概念(Mean、Variance、Covariance、Correlation coefficient、Normal distribution、Regression)"
113,2,000356021,"社會責任與倫理","羅明琇","二234","學思040104",1.0,必修,"企管系",中文,否,學士班,"＠備註:限大三以上修習，集中授課六週，每次3小時，實際上課日期請參考教學大綱。"
113,2,000360021,"統計學（二）","黃佳慧","二234","研究250103",3.0,必修,"統計系",中文,否,學士班,"＠備註:實習課為四、78，實習課衝堂者不得選修。統計系一年級學生灌檔；商院各系、地政系及經濟系學生優先。已修習原「統計學」全學年下��期課程及格者，修習本課程屬重複修習。"
113,2,000217022,"個體經濟學","李慧琳","一D56","資訊140307",3.0,必修,"經濟系",中文,否,學士班,"＠備註:本課程有實習課"
113,2,000218022,"總體經濟學","梁斐琪","三234","大智190305",3.0,必修,"經濟系",中文,否,學士班,"＠備註:無"
113,2,000219042,"經濟學","陳心蘋","五D56","大智190305",3.0,必修,"經濟系",中文,否,學士班,"＠備註:經濟系學生優先，本課程有實習課。"
113,2,000221032,"財政學","陳香梅","三D56","綜南270415",3.0,必修,"財政系",中文,否,學士班,"＠備註:財政系優先/財二必修/非財政系之學生，強烈建議先修過微積分"
113,2,000228042,"貨幣銀行學","賴廷緯","五234","大勇210202",3.0,群修,"經濟系",英文,是,學士班,"＠備註:本課程為英語授課"
113,2,000347041,"財務管理","盧敬植","一D56","商館260106",3.0,選修,"財管系",中文,否,學士班,"＠備註:先修經濟學及初級會計學一學年，不手動加簽，退課原則請詳教學大綱。"
113,2,000359091,"統計學（一）","薛慧敏","二234","商館260311",3.0,必修,"統計系",中文,否,學士班,"＠備註:實習課為三、78，實���課衝堂者不得選修。商院各系、地政系及經濟系學生優先。本課程不加簽但開放遞補。已修習原「統計學」全學年上學期課程及格者，修習本課程屬重複修習。"
113,2,000360011,"統計學（二）","楊素芬","一D56","研究250103",3.0,必修,"統計系",中文,否,學士班,"＠備註:實習課二、C；四、C；實習課衝堂者不得選修。會計系一年級學生灌檔。商院各系、地政系及經濟系學生優先。已修習原「統計學」全學年下學期課程及格者，修習本課程屬重複修習。"
113,2,000604021,"商事法","魏杏芳","三56","大勇210205",2.0,必修,"法律系",中文,否,學士班,"＠備註:資管系二年級優先"
113,2,088100031,"華語－密集班聽力課程（二）","吳孟盈","一D56","研究250207",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
