學年度,學期,課程代碼,課程名稱,授課教師,上課時間,上課教室,學分,選別,開課學程/年級,授課語言,EMI課程,學制分類,備註
113,2,000219552,"經濟學","蔡致遠","三234","研究250103",3.0,必修,"國貿系",中文,否,學士班,"＠備註:國貿系、企一乙、外語學程優先。114.6.14上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。"
113,2,000227011,"國際關係","楊文琪","三D56","綜北270202",3.0,必修,"外交系",中文,否,學士班,"＠備註:無"
113,2,000318051,"初級會計學（二）","黃政仁","一78E","商館260312",3.0,必修,"會計系",中文,否,學士班,"＠備註:會一乙，不接受加簽。擋修初會(一)。本課程於114.6.14(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
113,2,000327021,"中級會計學（二）","陳明進","四234","商館260210",3.0,必修,"會計系",中文,否,學士班,"＠備註:會二甲、財政三，擋修初會(一)、初會(二)及中會(一)，擋修者請勿選修，不簽同意修課單。"
113,2,000348031,"管理學","黃家齊、潘博宇","一D56","商館260313",3.0,必修,"企管系",中文,否,學士班,"＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"
113,2,000350041,"行銷管理","陳冠儒、陳姿伃","四234","學思040205",3.0,必修,"企管系",中文,否,學士班,"＠備註:第一堂課務必出席，未出席者請自行退選。先修經濟學和管理學。"
113,2,000351051,"投資學","邱健嘉","一D56","商館260207",3.0,必修,"財管系",英文,是,學士班,"＠備註:先修經濟學及初級會計學一學年。英語授課，為利課程銜接，建議同學修課前需具有統計學基礎概念(Mean、Variance、Covariance、Correlation coefficient、Normal distribution、Regression)"
113,2,000356051,"社會責任與倫理","陳立民","五234","學思040107",1.0,必修,"企管系",中文,否,學士班,"＠備註:限大三以上修習，集中授課六週，每次3小時，實際上課日期請參考教學大綱。"
113,2,000356031,"社會責任與倫理","柯玉佳","二234","元大人文廳",1.0,必修,"企管系",中文,否,學士班,"＠備註:限大三以上修習，集中授課六週，每次3小時，實際上課日期請參考教學大綱。"
113,2,000601012,"民法概要","詹聰哲","三78","大勇210201",2.0,選修,"法律系",中文,否,學士班,"＠備註:企一甲同學優先。"
113,2,000216001,"社會學","劉叡穎","三234","綜北270202",3.0,選修,"社會系",英文,是,學士班,"＠備註:無"
113,2,000218012,"總體經濟學","洪福聲","二234","大勇210103",3.0,必修,"經濟系",中文,否,學士班,"＠備註:本課程有實習課"
113,2,000219572,"經濟學","張興華","四D56","商館260210",3.0,必修,"國貿系",中文,否,學士班,"＠備註:金融系優先。114.6.14上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。"
113,2,000221012,"財政學","陳國樑","三234","綜南270415",3.0,必修,"財政系",中文,否,學士班,"＠備註:經濟系優先/建議先修過微積分"
113,2,000318061,"初級會計學（二）","林禹銘","一EFG","大勇210206",3.0,必修,"會計系",中文,否,學士班,"＠備註:金融一，加簽規則請參照教學大綱，請勿來信詢問 ，第一堂課請務必出席。擋修初會(一)。本課程於114.6.14(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
113,2,000318101,"初級會計學（二）","翁嘉祥","三234","學思040302",3.0,必修,"會計系",中文,否,學士班,"＠備註:企管一甲，擋修初會(一)。本課程於114.6.14(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。加簽考量以高年級者必修及雙輔必修為優先。欲加簽同學必須出席第一堂課，勿來信詢問。"
113,2,000327011,"中級會計學（二）","潘健民","四234","商館260106",3.0,必修,"會計系",中文,否,學士班,"＠備註:會二乙、財管二，擋修初會(二)。本課程選課人數已超過教室規定容量上限，不開放加簽。"
113,2,000347081,"財務管理","郭維裕","二D56","研究250206",3.0,選修,"財管系",中文,否,學士班,"＠備註:先修經濟學及初級會計學一學年"
113,2,000604001,"商事法","王文杰","二D5","大勇210105",2.0,必修,"法律系",中文,否,學士班,"＠備註:金融系二年級優先"
113,2,000604031,"商事法","詹聰哲","三34","大智190101",2.0,必修,"法律系",中文,否,學士班,"＠備註:國貿系二年級乙班及國貿系一年級甲班優先"
113,2,000702011,"普通心理學","楊啟正","二234","法學院演講廳",3.0,選修,"心理系",中文,否,學士班,"＠備註:無"
113,2,000713032,"微積分甲","蔡承育","三D56","大勇210104",3.0,必修,"應數系",中文,否,學士班,"＠備註:統計系優先。"
113,2,000219112,"經濟學","彭喜樞","三D56","綜南270111",3.0,必修,"經濟系",中文,否,學士班,"＠備註:財政一乙學生優先，本課程有實習課。"
113,2,000318031,"初級會計學（二）","詹凌菁","一D56","商館260105",3.0,必修,"會計系",中文,否,學士班,"＠備註:財管一，第一堂課請務必出席。擋修初會(一)，本課程於114.6.14(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
113,2,000346021,"成本管理會計（二）","王文英","二234","學思040202",3.0,必修,"會計系",中文,否,學士班,"＠備註:擋修成會(一)，會二乙"
113,2,000347061,"財務管理","車倫周","四D56","研究250105",3.0,選修,"財管系",英文,是,學士班,"＠備註:先修經濟學及初級會計學一學年，英語授課，不加簽。"
113,2,000350011,"行銷管理","陳冠儒","三234","寶來國際廳",3.0,必修,"企管系",中文,否,學士班,"＠備註:企管二乙優先。先修管理學與經濟學，第一堂課必到。"
113,2,000318041,"初級會計學（二）","張祐慈","一78E","研究250201",3.0,必修,"會計系",中文,否,學士班,"＠備註:會一甲，不接受加簽。���修初會(一)，本課程於114.6.14(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
113,2,000318081,"初級會計學（二）","林禹銘","二EFG","大勇210206",3.0,必修,"會計系",中文,否,學士班,"＠備註:國貿一乙，加簽規則請參照教學大綱，請勿來信詢問 ，第一堂課請務必出席。擋修初會(一)，本課程於114.6.14(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
113,2,000335011,"中級會計學（三）","黃政仁","三78E","商館260205",3.0,必修,"會計系",中文,否,學士班,"＠備註:會三甲，擋修中會(一)、中會(二)。"
113,2,000348051,"管理學","周庭佑、林昱錡","二D56","學思040302",3.0,必修,"企管系",中文,否,學士班,"＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"
113,2,000348061,"管理學","官函霓","三234","研究250201",3.0,必修,"企管系",中文,否,學士班,"＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"
113,2,000360081,"統計學（二）","周珮婷","四D56","研究250103",3.0,必修,"統計系",中文,否,學士班,"＠備註:實習課為二、78，實習課衝堂者不得選修。商院各系、地政系及經濟系學生優先。已修習原「統計學」全學年下學期課程及格者，修習本課程屬重複修習。"
113,2,000604041,"商事法","林佳穎","二34","大智190304",2.0,必修,"法律系",中文,否,學士班,"＠備註:財管系二年級及國貿系一年級乙班優先"
113,2,000211012,"政治學","蔡中民","一D56","綜合中央大教室 (270751)",3.0,必修,"政治系",中文,否,學士班,"＠備註:政治系優先。本課程於第二階段初選登記開放選課。"
113,2,000217012,"個體經濟學","陳鎮洲","四234","綜合中央大教室 (270751)",3.0,必修,"經濟系",中文,否,學士班,"＠備註:本課程有實習課"
113,2,000218052,"總體經濟學","莊奕琦","四D56","大勇210206",3.0,必修,"經濟系",英文,是,學士班,"＠備註:本課程為英語授課，另有實習課。"
113,2,000219022,"經濟學","翁永和","四D56","大勇210103",3.0,必修,"經濟系",中文,否,學士班,"＠備註:外交及資管系學生優先，本課程有實習課。下學期由洪福聲老師授課。"
113,2,000219032,"經濟學","王信實","五234","綜南270311",3.0,必修,"經濟系",英文,是,學士班,"＠備註:本課程為英語授課"
113,2,000219122,"經濟學","胡偉民","二234","大智190101",3.0,必修,"經濟系",中文,否,學士班,"＠備註:財政一甲學生優先，本課程有實習課。"
113,2,000219512,"經濟學","吳文傑","一D56","大勇210103",3.0,必修,"國貿系",英文,是,學士班,"＠備註:ETP優先，英語授課。114.6.14上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。"
113,2,000219522,"經濟學","鄭鴻章","三D56","商館260105",3.0,必修,"國貿系",中文,否,學士班,"＠備註:財管系優先，114.6.14上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。"
113,2,000219562,"經濟學","朴民佑","四D56","逸仙050201",3.0,必修,"國貿系",英文,是,學士班,"＠備註:企一甲優先，英語授課。114.6.14上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。"
113,2,000226021,"政治學","韋洪武","一D56","綜北270202",3.0,必修,"政治系",中文,否,學士班,"＠備註:無"
113,2,000228022,"貨幣銀行學","林馨怡","二D56","大勇210103",3.0,群修,"經濟系",中文,否,學士班,"＠備註:第一次上課請務必出席。本課程下學期由林馨怡老師授課。"
113,2,000318111,"初級會計學（二）","張祐慈","三78E","研究250201",3.0,必修,"會計系",中文,否,學士班,"＠備註:企管一乙，擋修初會(一)，本課程於114.6.14(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
113,2,000318121,"初級會計學（二）","潘健民","三EFG","商館260106",3.0,必修,"會計系",中文,否,學士班,"＠備註:資管一乙，擋修初會(一)，本課程於114.6.14(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
113,2,000318141,"初級會計學（二）","陳宇紳","四D56","研究250201",3.0,必修,"會計系",中文,否,學士班,"＠備註:國貿一甲，第一堂課請務必出席。因教室人數限制，本課程不接受加簽，電郵加簽相關問題恕不回應。擋修初會(一)。本課程於114.6.14(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
113,2,000335021,"中級會計學（三）","陳明進","五D56","商館260210",3.0,必修,"會計系",中文,否,學士班,"＠備註:會三乙，擋修中會(一)、中會(二)，不簽擋修單"
113,2,000348021,"管理學","郭曉玲","五234","商館260311",3.0,必修,"企管系",中文,否,學士班,"＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"
113,2,000350021,"行銷管理","鄭濬浩","三234","",3.0,必修,"企管系",英文,是,學士班,"＠備註:先修管理學與經濟學，第一堂課必到。國貿二甲優先。"
113,2,000350051,"行銷管理","白佩玉、朱怡亭","五234","商館260207",3.0,必修,"企管系",中文,否,學士班,"＠備註:第一堂課務必出席，未出席者請自行退選。先修經濟學和管理學。"
113,2,000350061,"行銷管理","費喬登","一D56","學思040205",3.0,必修,"企管系",中文,否,學士班,"＠備註:第一堂課務必出席，未出席者請自行退選。先修經濟學和管理學；企管系學生(含雙修)不得選修本課。"
113,2,000351011,"投資學","李志宏","二D56","商館260210",3.0,必修,"財管系",中文,否,學士班,"＠備註:先修經濟學及初級會計學一學年。為利課程銜接，建議同學修課前需具有統計學基礎概念(Mean、Variance、Covariance、Correlation coefficient、Normal distribution、Regression)"
113,2,000356011,"社會責任與倫理","黃秉德","二234","商館260105",1.0,必修,"企管系",中文,否,學士班,"＠備註:限大三以上修習，集中授課六週，每次3小時，實際上課日期請參考教學大綱。"
113,2,000360041,"統計學（二）","陳怡如","二D56","資訊140206",3.0,必修,"統計系",中文,否,學士班,"＠備註:實習課為四、78，實習課衝堂者不得選修。商院各系、地政系及經濟系學生優先。已修習原「統計學」全學年下學期課程及格者，修習本課程屬重複修習。"
113,2,000360061,"統計學（二）","薛慧敏","三D56","商館260313",3.0,必修,"統計系",中文,否,學士班,"＠備註:實習課為三、8E；實習課衝堂者不得選修。金融系一年級學生灌檔，本課程不加簽但開放遞補。已修習原「統計學」全學年下學期課程及格者，修習本課程屬重複修習。"
113,2,000360071,"統計學（二）","黃子銘","四234","研究250103",3.0,必修,"統計系",中文,否,學士班,"＠備註:實習課為二、78，實習課衝堂者不得選修。商院各系、地政系及經濟系學生優先。已修習原「統計學」全學年下學期課程及格者，修習本課程屬重複修習。"
113,2,000360211,"統計學（二）","陳立榜","四D56","資訊140306",3.0,必修,"統計系",英文,是,學士班,"＠備註:英語授課。實習課為二、78，實習課衝堂者不得選修。商院ETP學生及外籍生優先。已修習原「統計學」全學年下學期課程及格者，修習本課程屬重複修習。"
113,2,000601002,"民法概要","王正偉","一78","學思040202",2.0,選修,"法律系",中文,否,學士班,"＠備註:企一乙同學優先。"
113,2,000605002,"商事法","王文杰","三78","法學院演講廳",2.0,必修,"法律系",中文,否,學士班,"＠備註:會計系二年級甲班優先。"
113,2,000605022,"商事法","劉承愚","一78","綜北270402",2.0,必修,"法律系",中文,否,學士班,"＠備註:會計系二年級乙班優先。"
113,2,000711002,"微積分","張宜武","三D56","大勇210103",3.0,必修,"應數系",中文,否,學士班,"＠備註:國貿系優先。"
113,2,000711022,"微積分","郭岳承","四D56","大勇210106",3.0,必修,"應數系",中文,否,學士班,"＠備註:經濟系優先"
113,2,000712011,"微積分","劉明郎","五D56","大勇210103",3.0,必修,"應數系",中文,否,學士班,"＠備註:資管系優先"
113,2,000713012,"微積分甲","曾正男","四D56","大智190101",3.0,必修,"應數系",中文,否,學士班,"＠備註:資科系優先。"
113,2,088100011,"華語－密集班聽力課程（二）","詹永康","一D56","商館260309",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088200061,"華語－密集班口說課程（二）","許宇萱","二D56","綜北270205",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088300011,"華語－密集班閱讀課程（二）","詹永康","三D56","商館260309",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088300021,"華語－密集班閱讀課程（二）","林佩君","三D56","商館260315",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088300041,"華語－密集班閱讀課程（二）","陳惠芳","三D56","商館260308",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
113,2,088300051,"華語－密集班閱讀課程（二）","簡汎霓","三D56","綜北270404",3.0,選修,"華語文中心",中文,否,學士班,"＠備註:無"
