學年度,學期,課程代碼,課程名稱,授課教師,上課時間,上課教室,學分,選別,開課學程/年級,授課語言,EMI課程,學制分類,備註
114,1,000217011,"個體經濟學","陳鎮洲","四234","綜合中央大教室 (270751)",3.0,必修,"經濟系",中文,否,學士班,"＠備註:本課程有實習課"
114,1,000218011,"總體經濟學","洪福聲","二234","綜合中央大教室 (270751)",3.0,必修,"經濟系",中文,否,學士班,"＠備註:本課程有實習課"
114,1,000219021,"經濟學","翁永和","四D56","綜南270415",3.0,必修,"經濟系",中文,否,學士班,"＠備註:外交及資管系學生優先，本課程有實習課。"
114,1,000219051,"經濟學","李文傑","三234","大勇210103",3.0,必修,"經濟系",中文,否,學士班,"＠備註:公行系學生優先"
114,1,000219531,"經濟學","蔡致遠","三234","學思040202",3.0,必修,"國貿系",中文,否,學士班,"＠備註:貿一乙、企一乙、外語學程優先。114.12.13上午舉行會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,1,000228021,"貨幣銀行學","林馨怡","二D56","大勇210103",3.0,群修,"經濟系",中文,否,學士班,"＠備註:本課程下學期由張興華老師授課"
114,1,000228041,"貨幣銀行學","賴廷緯","五234","大勇210202",3.0,群修,"經濟系",英文,是,學士班,"＠備註:本課程為英語授課"
114,1,000314011,"初級會計學（一）","徐愛恩","一D56","資訊140301",3.0,必修,"會計系",英文,是,學士班,"＠備註:英語授課，ETP優先。非同步遠距教學，不開放加簽。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,1,000314081,"初級會計學（一）","張祐慈","三78E","研究250201",3.0,必修,"會計系",中文,否,學士班,"＠備註:會一甲，加簽規則請參照教學大綱，請勿來信詢問 ，第一堂課請務必出席。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,1,000314111,"初級會計學（一）","何怡澄","四234","研究250103",3.0,必修,"會計系",中文,否,學士班,"＠備註:財政一乙，實習課四1。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,1,000314131,"初級會計學（一）","林禹銘","一EFG","大勇210206",3.0,必修,"會計系",中文,否,學士班,"＠備註:風管一，加簽規則請參照教學大綱或第一堂課請務必出席。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,1,000323031,"中級會計學（一）","徐愛恩","二D56","人偉講堂",3.0,必修,"會計系",英文,是,學士班,"＠備註:擋修初會（二）,英語授課，ETP優先。"
114,1,000335011,"中級會計學（三）","陳明進","四234","商館260210",3.0,必修,"會計系",中文,否,學士班,"＠備註:會三乙，擋修中會(一)、中會(二)，不簽擋修單。"
114,1,000348071,"管理學","官函霓","三D56","商館260311",3.0,必修,"企管系",中文,否,學士班,"＠備註:第一堂課請務必出席。企管系本系生及雙修生不得修習本課。"
114,1,000361011,"企業倫理與社會責任","別蓮蒂","四234","元大人文廳",1.0,必修,"企管系",中文,否,學士班,"＠備註:限大三以上修習，集中授課六週，每次3小時，實際上課日期請參考教學大綱。"
114,1,000361051,"企業倫理與社會責任","柯玉佳","三234","井塘020113",1.0,必修,"企管系",中文,否,學士班,"＠備註:限大三以上修習，集中授課六週，每次3小時，實際上課日期請參考教學大綱。"
114,1,000605001,"商事法","王文杰","三78","法學院410王文杰講堂",2.0,必修,"法律系",中文,否,學士班,"＠備註:會計系二年級甲班優先。114-2授課教師異動為李珮瑜老師。"
114,1,000713031,"微積分甲","林俊良","三D56","大勇210104",3.0,必修,"應數系",中文,否,學士班,"＠備註:統計系優先。"
114,1,000217031,"個體經濟學","徐麗振","二D56","綜南270415",3.0,必修,"經濟系",中文,否,學士班,"＠備註:財政系學生優先，本課程有實習課，先修科目為經濟學，且建議修畢微積分再選課。"
114,1,000217041,"個體經濟學","黃柏鈞","三D56","綜合中央大教室 (270751)",3.0,必修,"經濟系",中文,否,學士班,"＠備註:本課程有實習課。"
114,1,000219511,"經濟學","吳文傑","一D56","大勇210103",3.0,必修,"國貿系",英文,是,學士班,"＠備註:ETP優先，英語授課。114.12.13上午舉行會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,1,000221011,"財政學","陳國樑","三234","法學院演講廳",3.0,必修,"財政系",中文,否,學士班,"＠備註:財政系及經濟系優先/建議先修過微積分"
114,1,000227011,"國際關係","郭昕光","二234","大勇210201",3.0,必修,"外交系",中文,否,學士班,"＠備註:第一堂課未到請自行退選，未退課該科以零分計算。"
114,1,000314021,"初級會計學（一）","何怡澄","一D56","研究250103",3.0,必修,"會計系",中文,否,學士班,"＠備註:財政一甲、企管一乙，實習課:一C。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,1,000314031,"初級會計學（一）","陳宇紳","一D56","研究250201",3.0,必修,"會計系",中文,否,學士班,"＠備註:下學期翁嘉祥老師，財管一。第一堂課請務必出席。因教室人數限制，本課程不接受加簽，電郵詢問加簽相關問題恕不回應。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,1,000314041,"初級會計學（一）","詹凌菁","三234","研究250105",3.0,必修,"會計系",中文,否,學士班,"＠備註:企管一甲，第一堂課請務必出席。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,1,000314061,"初級會計學（一）","戚務君","三234","資訊140201",3.0,必修,"會計系",中文,否,學士班,"＠備註:資管一甲。第一堂課請務必出席。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,1,000314141,"初級會計學（一）","林禹銘","二D56","大勇210206",3.0,必修,"會計系",中文,否,學士班,"＠備註:統計二，114下無延續課程。加簽規則請參照教學大綱或第一堂課請務必出席。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,1,000314151,"初級會計學（一）","林禹銘","二EFG","大勇210206",3.0,必修,"會計系",中文,否,學士班,"＠備註:加簽規則請參照教學大綱或第一堂課請務必出席。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。"
114,1,000323021,"中級會計學（一）","陳漢鐘","四234","研究250105",3.0,必修,"會計系",中文,否,學士班,"＠備註:會二乙，擋修初會(一)、初會(二)。原則上不開放加簽非會計系同學。實習課時間最晚將於第一週上課時決定。"
114,1,000323041,"中級會計學（一）","金成隆","三78E","商館260206",3.0,必修,"會計系",中文,否,學士班,"＠備註:財���三、財管二，擋修初會(一)、初會（二）。"
114,1,000337021,"成本管理會計（一）","梁嘉紋","二D56","商館260210",3.0,必修,"會計系",中文,否,學士班,"＠備註:會二乙，擋修初會（二）。第一堂課請務必出席，加簽規則請參照教學大綱，勿來信詢問。"
114,1,000347001,"財務管理","周冠男","一D56","商館260106",3.0,選修,"財管系",中文,否,學士班,"＠備註:先修經濟、初會一年，財管二優先"
114,1,000347111,"財務管理","郭維裕","二D56","商館260313",3.0,選修,"財管系",中文,否,學士班,"＠備註:先修經濟、初會一學年；不加簽。"
114,1,000348061,"管理學","王斌育","一D56","商館260105",3.0,必修,"企管系",中文,否,學士班,"＠備註:國貿一甲優先。第一堂課請務必出席。企管系本系生及雙修生不得修習本課。"
114,1,000358021,"資料分析與程式設計入門","楊亨利","二78E","逸仙5樓資管電腦室",3.0,選修,"資管系",中文,否,學士班,"＠備註:原科目名稱為資料處理，已修習原科目之學生不須再修習本科目。資管系同學修習不計入畢業學分。在逸仙樓五樓資管系電腦教室(0502教室)上課。不開放加簽。"
114,1,000359061,"統計學（一）","陳怡如","三D56","資訊140201",3.0,必修,"統計系",中文,否,學士班,"＠備註:實習課時間於第一次上課時決定。金融系一年級學生灌檔。商院各系、地政系及經濟系學生優先。已修習原「統計學」全學年上學期課程及格者，修習本課程屬重複修習。"
114,1,000359081,"統計學（一）","周珮婷","四D56","研究250103",3.0,必修,"統計系",中文,否,學士班,"＠備註:實習課為二、78，商院各系、地政系及經濟系學生優先。已修習原「統計學」全學年上學期課程及格者，修習本課程屬重複修習。"
114,1,000361001,"企業倫理與社會責任","黃秉德","二234","學思040103",1.0,必修,"企管系",中文,否,學士班,"＠備註:限大三以上修習，集中授課六週，每次3小時，實際上課日期請參考教學大綱。"
114,1,000603001,"民法概要","葉啓洲","五56","法學院416講堂",2.0,選修,"法律系",中文,否,學士班,"＠備註:財政系一年級優先。"
114,1,000603011,"民法概要","詹聰哲","三56","法學院105富邦法學講堂",2.0,選修,"法律系",中文,否,學士班,"＠備註:會計一學生優先。"
114,1,000603021,"民法概要","王千維","二34","法學院518講堂",2.0,選修,"法律系",中文,否,學士班,"＠備註:無"
114,1,000711001,"微積分","張宜武","三D56","大勇210103",3.0,必修,"應數系",中文,否,學士班,"＠備註:國貿系優先。"
114,1,000713021,"微積分甲","林俊良","二234","大勇210104",3.0,必修,"應數系",中文,否,學士班,"＠備註:金融系優先。"
114,1,000211011,"政治學","蔡中民","一D56","綜合中央大教室 (270751)",3.0,必修,"政治系",中文,否,學士班,"＠備註:政治系優先。本課程於第二階段初選登記開放選課。"
114,1,000216011,"社會學","陳宗文","一D56","綜北270104",3.0,選修,"社會系",中文,否,學士班,"＠備註:無"
